LINK,TITLE,DESCRIPTION,CONTENT
https://www.nytimes.com/2024/03/20/world/asia/gaza-aid-evs-hong-kong-asia.html,Thursday Briefing: Where is Gaza’s Aid?,"Also, sweeping U.S. climate regulations and the “3 Body Problem” on Netflix.",Prime Minister Rishi Sunak of Britain argues that flights to Rwanda would be a vital deterrent to immigration.
https://www.nytimes.com/2024/03/22/world/asia/south-korea-insooni-singer.html,Insooni Breaks Racial Barrier to Become Beloved Singer in South Korea,"Born to a South Korean mother and a Black American soldier, she rose to a pioneering stardom in a country that has long discriminated against biracial children.","Kim In-soon, known professionally as Insooni, taking a picture with a fan at a book signing in Seoul in March."
https://www.nytimes.com/2024/03/22/world/middleeast/us-cease-fire-resolution-vetoes.html,A Look at Previous U.S. Vetoes of Gaza Cease-Fire Resolutions in the U.N.,"Before a U.S. resolution in the United Nations Security Council calling for a cease-fire in Gaza was vetoed on Friday, the U.S. had vetoed three previous ones demanding a halt to the fighting.","Linda Thomas-Greenfield, the U.S. ambassador to the United Nations, voted against a resolution calling for an immediate cease-fire last month."
https://www.nytimes.com/2024/03/21/world/europe/vaughan-gething-wales-parliament.html,Vaughan Gething of Wales Is Europe’s First Black Head of Government,"Mr. Gething, 50, was narrowly elected leader of Wales’s governing Labour Party this week, and then was elected first minister by the Senedd, or Welsh Parliament.","Vaughan Gething poses for a photo, in a lecture hall at Cardiff University, after being elected as the next Welsh Labour leader and First Minister of Wales, in Cardiff, Saturday, March 16, 2024."
https://www.nytimes.com/2024/03/20/world/middleeast/unrwa-senate-gaza.html,Congress Seeks to Bar Funding for U.N. Agency for Palestinians,"A bill would bar support for the agency, UNRWA, amid accusations that some employees were Hamas fighters. Other countries are scrambling to make up the looming shortfall.",Palestinians gathered to receive aid outside an UNRWA warehouse in Gaza City on Monday.
https://www.nytimes.com/2024/03/21/world/asia/india-national-congress-bank-accounts-bjp.html,Indian Opposition Parties Say They Face Tide of Troubles as Vote Nears,"Weeks before pivotal elections, the head of one party was arrested on what his supporters said were trumped-up charges and another party said it lost access to its funds.","The leader of the Aam Aadmi Party, Arvind Kejriwal, was taken into custody late on Thursday at his home in New Delhi."
https://www.nytimes.com/2024/03/22/world/australia/screen-free-school.html,What We Gained (and Lost) When Our Daughter Unplugged for a School Year,"My 13-year-old has left her phone behind for hiking, chores and study in the Australian wilderness. Our pen-and-paper correspondence is opening up an unexpected world.","Letters sent by the author’s daughter from Timbertop, a school campus in the Australian bush."
https://www.nytimes.com/2024/03/21/world/europe/russia-missile-attack-kyiv-ukraine.html,Russian Missile Attack on Kyiv Leaves 10 Injured,Ukraine said it had intercepted all 31 missiles fired at the capital. But debris injured at least 13 people and damaged several buildings.,"Firefighters directing water onto a blaze on Thursday morning at the site of a missile strike in Kyiv, Ukraine."
https://www.nytimes.com/2024/03/22/climate/toyota-hybrid-epa-pollution.html,How the New E.P.A. Rules Affect Toyota and Their Hybrid Cars,"The auto giant lobbied hard against tougher pollution rules. This week, the E.P.A.’s new rules proved favorable to hybrid technology, an area that Toyota dominates.","Charging up in Lake Park, Fla."
https://www.nytimes.com/2024/03/22/world/europe/rose-dugdale-dead.html,"Rose Dugdale, Heiress Turned Irish Independence Fighter, Dies at 82","Born into English wealth and Oxford-educated, she left it all behind for a life of radical and often violent activism.","Rose Dugdale in 1974 after being sentenced to nine years in prison for crimes including art theft. Born an English heiress, she left her wealth behind to join the Irish Republican Army."
https://www.nytimes.com/2024/03/22/world/africa/uganda-president-son.html,Uganda President Museveni Appoints His Son as Top Army Commander,"Gen. Muhoozi Kainerugaba, who has a reputation for provocative late-night tweets, has been working to position himself as heir apparent to his father, President Yoweri Museveni.","Gen. Muhoozi Kainerugaba, the son of Uganda’s president, has been working to raise his profile and set himself up as heir apparent."
https://www.nytimes.com/2024/03/21/world/americas/haiti-evacuation-florida-family.html,"As Americans Flee Haiti, 2-Year-Old Is Separated from His Parents",The boy had been dropped off with relatives nearly three weeks ago and was airlifted back to his Florida home. He is part of a growing number of Americans trying to flee Haiti.,Secretary of State Antony J. Blinken arriving in Cairo on Thursday to discuss the war in Gaza with Mideast leaders.
https://www.nytimes.com/2024/03/22/world/europe/moscow-concert-hall-attack-photos.html,The Deadly Moscow Concert Hall Attack in Photos,Images show the scene of what could be the deadliest attack in Russia in decades. Multiple gunmen killed at least 40 people in an assault in the capital’s outskirts.,Crocus City Hall in Moscow on fire Friday night after a major attack.
